pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿En qué ciudad nació Lionel Messi?,Rosario,Buenos Aires,Córdoba,Mendoza,1
¿Cuál es la capital de Argentina?,Buenos Aires,Córdoba,Rosario,Mendoza,1
¿Quién pintó la Mona Lisa?,Leonardo da Vinci,Michelangelo,Raphael,Donatello,1
¿Cuál es el planeta más cercano al Sol?,Mercurio,Venus,Marte,Júpiter,1
¿Cuántos continentes hay en el mundo?,5,6,7,8,3
¿En qué año comenzó la Segunda Guerra Mundial?,1939,1945,1914,1929,1
¿Cuál es el océano más grande?,Atlántico,Índico,Ártico,Pacífico,4
¿Quién escribió "Cien años de soledad"?,Gabriel García Márquez,Mario Vargas Llosa,Pablo Neruda,Carlos Fuentes,1
¿Cuál es la fórmula química del agua?,H2O,CO2,O2,NaCl,1
¿Cuántos jugadores tiene un equipo de fútbol en cancha?,9,10,11,12,3
¿En qué país se encuentra la Torre Eiffel?,Italia,Francia,Alemania,España,2
¿Cuál es la moneda oficial de Japón?,Yen,Dólar,Euro,Libra,1
¿Quién fue el primer presidente de Estados Unidos?,George Washington,Abraham Lincoln,Thomas Jefferson,John Adams,1
¿Cuál es el idioma más hablado en el mundo?,Inglés,Español,Chino Mandarín,Hindi,3
¿En qué continente está Egipto?,África,Asia,Europa,América,1
¿Cuál es el animal terrestre más rápido?,León,Canguro,Tigre,Guepardo,4
¿Quién descubrió América?,Cristóbal Colón,Vasco da Gama,Ferdinand Magellan,James Cook,1
¿Cuántos huesos tiene el cuerpo humano?,206,201,210,198,1
¿Dónde se originó el yoga?,India,China,Japón,Tailandia,1
¿Cuál es el deporte más popular del mundo?,Básquetbol,Fútbol,Tenis,Cricket,2
¿En qué año llegó el hombre a la Luna?,1969,1972,1965,1959,1
¿Qué instrumento tiene teclas blancas y negras?,Piano,Guitarra,Violín,Batería,1
¿Cuál es el símbolo químico del oro?,Au,Ag,Fe,Cu,1
¿Quién escribió "Romeo y Julieta"?,William Shakespeare,Jane Austen,Mark Twain,Charles Dickens,1
¿Cuál es la capital de España?,Madrid,Barcelona,Valencia,Sevilla,1
¿Qué gas respiramos los humanos?,Oxígeno,Nitrógeno,Carbono,Dióxido de carbono,1
